2020-05-25 11:35:36 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 11:37:26 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 11:57:19 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:05:45 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:25:47 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:28:50 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:33:13 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:35:38 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:39:01 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:39:21 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:40:28 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
2020-05-25 12:42:39 | /Homework27/logger/log.php | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 | 192.168.10.1
